hparams_hash,learning_rate,layer_sizes,dropout_rates,batch_norm,weight_decay,batch_size,leaky_relu_negative_slope,num_epochs,scheduler_mode,scheduler_factor,scheduler_patience,scheduler_threshold,scheduler_cooldown,early_stopping_mode,early_stopping_patience,early_stopping_delta,val_loss,val_accuracy,computation_time,final_num_epochs,lr_reduction_epochs,log_filename
f6c7e60f2c91f9f95fe5cc957cdf3600,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.39502367347621237,89.98,170.16653203964233,18,"[11, 16]",training_log_f6c7e60f2c91f9f95fe5cc957cdf3600.json
ce0d680cf2d811b23289a04a66926121,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3781219032729507,90.19,200.01004028320312,21,"[9, 19]",training_log_ce0d680cf2d811b23289a04a66926121.json
1c51f283575a6f2d141c578b96008634,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38335723213002654,90.07,225.9730887413025,25,"[10, 23]",training_log_1c51f283575a6f2d141c578b96008634.json
9a8d00eaabc5b2c4740c5e8c7690bf74,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.40068407356739044,90.52,254.23429369926453,28,"[18, 26]",training_log_9a8d00eaabc5b2c4740c5e8c7690bf74.json
102d4cef2eff2a10174bb847b4488b32,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4090221870607114,89.96,216.30060148239136,17,"[10, 15]",training_log_102d4cef2eff2a10174bb847b4488b32.json
622791b36a0bc2eeba10a347e6f38876,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3854798905123025,90.5,232.4021553993225,18,"[9, 16]",training_log_622791b36a0bc2eeba10a347e6f38876.json
3b1f00df882e40e5a678ccd2d917c9f2,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4147141233836777,90.74,268.121089220047,25,"[14, 23]",training_log_3b1f00df882e40e5a678ccd2d917c9f2.json
c48d19dcaeab77b288b60730ecbc40f0,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3876101160289931,90.94,268.5167486667633,25,"[13, 23]",training_log_c48d19dcaeab77b288b60730ecbc40f0.json
9ae16a5669a636376de7f7ff7bb4c63b,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.39502367347621237,89.98,170.41093134880066,18,"[11, 16]",training_log_9ae16a5669a636376de7f7ff7bb4c63b.json
536974f94a054d4ff9bddc100a9d85fa,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3781219032729507,90.19,200.3271222114563,21,"[9, 19]",training_log_536974f94a054d4ff9bddc100a9d85fa.json
7c52b01f38a006293abd84d08cc2b895,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38335723213002654,90.07,226.3141634464264,25,"[10, 23]",training_log_7c52b01f38a006293abd84d08cc2b895.json
f34ae5b57e3f70a99c9a1b0d9b22bc67,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",1e-05,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.40068407356739044,90.52,254.54628944396973,28,"[18, 26]",training_log_f34ae5b57e3f70a99c9a1b0d9b22bc67.json
214d6a9e99a55337f567698a19a2408d,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.44086022405147085,89.82,182.9334695339203,14,[12],training_log_214d6a9e99a55337f567698a19a2408d.json
db23cebc000a4f2a5e2ece0bcc245980,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.41025679161860606,90.94,282.56910014152527,22,"[14, 20]",training_log_db23cebc000a4f2a5e2ece0bcc245980.json
2ddbec4aeccd2bb6e59cc62ea8516617,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.39560638663891595,90.39,223.50772142410278,21,"[10, 19]",training_log_2ddbec4aeccd2bb6e59cc62ea8516617.json
d7e7811c169cea9fce430831ef76fbf6,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3816741088817354,90.22,188.93680930137634,18,"[8, 16]",training_log_d7e7811c169cea9fce430831ef76fbf6.json
ff565278653ffcb60388ae5cf14b0405,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3940484170463814,89.92,169.81151866912842,18,"[9, 16]",training_log_ff565278653ffcb60388ae5cf14b0405.json
06820fb1ea08d4f79b7c170f5de62da8,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3785532466877418,90.46,219.6617786884308,23,"[9, 15, 21]",training_log_06820fb1ea08d4f79b7c170f5de62da8.json
2a031368f050da29fc447feaff950248,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.385848419198507,90.49,225.2598102092743,25,"[13, 23]",training_log_2a031368f050da29fc447feaff950248.json
8b00bdae18e9383107d0981d0f00a037,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0001,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38845937840546235,90.57,253.6098437309265,28,"[15, 26]",training_log_8b00bdae18e9383107d0981d0f00a037.json
c0ba41074b69f01ef361756c1becd398,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.43352096504841464,90.02,242.64810729026794,19,"[10, 17]",training_log_c0ba41074b69f01ef361756c1becd398.json
b3345fe4d2f40ac86880105540481139,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.41032850181868996,90.66,281.6690819263458,22,"[12, 20]",training_log_b3345fe4d2f40ac86880105540481139.json
5660443bbf1b76170ca918a410ac7ddf,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.41699500227742753,89.92,190.15064096450806,18,"[9, 16]",training_log_5660443bbf1b76170ca918a410ac7ddf.json
18250ddd92658f9f71533b5c4447a1a3,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3978350912540639,90.84,248.38672137260437,23,"[14, 21]",training_log_18250ddd92658f9f71533b5c4447a1a3.json
73104b65a751b36664e393139081a8bd,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3899219404360291,90.09,199.4406235218048,21,"[11, 19]",training_log_73104b65a751b36664e393139081a8bd.json
f62240bb958d96e41d7297812be0b475,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.38120636158877874,90.34,288.8081319332123,30,"[10, 17, 28]",training_log_f62240bb958d96e41d7297812be0b475.json
fd09078d8578ca33b415aeb5f7f50969,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3824633339160605,89.72,159.38026642799377,18,"[10, 16]",training_log_fd09078d8578ca33b415aeb5f7f50969.json
9f2e887f6032776f04a1d1f5a04e544a,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.001,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3900075888709177,90.7,253.82106709480286,28,"[17, 26]",training_log_9f2e887f6032776f04a1d1f5a04e544a.json
c132fe4475d750ffdc204f6e76f025c5,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3755116614945233,89.07,304.0586156845093,22,[20],training_log_c132fe4475d750ffdc204f6e76f025c5.json
54a40b33cfb9cb470f2fdd4180d3c76a,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.35778313346430657,89.87,534.6047623157501,38,"[21, 28, 36]",training_log_54a40b33cfb9cb470f2fdd4180d3c76a.json
521b81a974f7547dba2f21483a83e150,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.35059020014259573,90.34,268.7329969406128,24,"[9, 22]",training_log_521b81a974f7547dba2f21483a83e150.json
3ae7e691cf12b232b84578f1afc1cfd5,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.37029937707101956,89.86,256.3634328842163,23,[21],training_log_3ae7e691cf12b232b84578f1afc1cfd5.json
1e66a7b61104985f4d1be2f8ae4eb5f2,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.36736315019001625,90.18,244.96610951423645,24,"[12, 22]",training_log_1e66a7b61104985f4d1be2f8ae4eb5f2.json
1a1433867bc1003514ac3b4626349444,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3683331884016657,90.0,235.25398874282837,24,"[15, 22]",training_log_1a1433867bc1003514ac3b4626349444.json
699836e587989de0d05d039a8bfafcfb,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3859959105147591,89.89,209.10234260559082,23,[21],training_log_699836e587989de0d05d039a8bfafcfb.json
28c77e04b425ef479fac501fe9cdf7f7,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",0.0,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3731798235374161,90.16,218.51244688034058,24,"[15, 22]",training_log_28c77e04b425ef479fac501fe9cdf7f7.json
44cfba5c459235f46099f39a60b560d5,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",1e-05,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3755116614945233,89.07,304.87606978416443,22,[20],training_log_44cfba5c459235f46099f39a60b560d5.json
0ddeb68949c185a8bde33bfd1f96ae99,0.001,"[128, 64]","[0.2, 0.2]","[true, true]",1e-05,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.35778313346430657,89.87,537.2255401611328,38,"[21, 28, 36]",training_log_0ddeb68949c185a8bde33bfd1f96ae99.json
